z (m), u (m/s), V (1/s), T (K), rho (kg/m3), H2, H, O, O2, OH, H2O, HO2, H2O2, N, NH, NH2, NH3, NNH, NO, NO2, N2O, HNO, N2, 
0.0, 2.3396229123842502, -2.6524196452295169e-215, 300.0, 0.84946275071867772, 0.29585798816577469, -5.9490084168437725e-15, 6.3377004943602215e-15, 0.1479289940828252, -7.9080017783514286e-15, -2.0312420486023223e-16, -2.4810144388773858e-16, -1.9695563066406991e-16, 4.9883235500984009e-15, -1.0330241745511354e-14, 4.1595643847787112e-15, -3.5649360977596309e-15, -1.0040494568962307e-29, -1.3403130152591123e-15, 1.0240224385425664e-15, -3.3560547269960116e-16, -3.4055213436064105e-15, 0.55621301775141718, 
0.001, 2.3396229124007708, 9.4435719687417377e-214, 299.99999999973477, 0.84946275071941069, 0.29585798816578368, -1.0272349597368587e-17, 6.711180408215843e-15, 0.14792899408285332, -8.6585305758111127e-16, -1.6734056106333133e-14, -2.2350495276184002e-14, -2.5307334102688305e-16, 4.4322209009376352e-15, -6.7826590890335064e-16, 3.9681387407912875e-15, -3.3734359351985194e-15, -9.1800452384318362e-28, -1.0458269416634276e-14, 1.0240239040310551e-15, -3.3560524431179692e-16, -3.4067981088511771e-15, 0.55621301775140541, 
0.0057499999999999999, 2.3396229124004004, 1.0170429050150179e-213, 299.99999999974239, 0.84946275071939004, 0.29585798816578285, 1.0326772594312258e-19, 7.4269019716344351e-15, 0.14792899408285118, -6.5785050054697419e-18, -1.7324225369139265e-14, -2.0802802836202967e-14, -4.8851467856257786e-16, 2.7762275253709569e-15, -9.8638813996465353e-18, 3.2280812566016262e-15, -2.6332053888795577e-15, 9.2274914432564472e-30, -9.471188893458136e-15, 1.0240288802400239e-15, -3.3560523213087992e-16, -3.406711483903013e-15, 0.55621301775140597, 
0.010500000000000001, 2.3396229123991334, 1.03421693683731e-213, 299.99999999976546, 0.84946275071932742, 0.29585798816578057, 2.3890120998085526e-19, 7.5142803711820136e-15, 0.14792899408284796, 1.0062724501554211e-17, -1.6403228107417988e-14, -1.7899357459800387e-14, -7.0466165336651637e-16, 1.7389049305327484e-15, -1.4394573692064117e-19, 2.6260265336139375e-15, -2.0310109811186762e-15, 2.1349929056239742e-29, -8.4434210317701306e-15, 1.0240321870196768e-15, -3.3560523197138482e-16, -3.4065339048735963e-15, 0.55621301775140786, 
0.01525, 2.3396229123978545, 1.034403147952171e-213, 299.99999999978598, 0.84946275071934629, 0.29585798816571013, 2.2407272946252637e-19, 7.2483417829437144e-15, 0.14792899408285998, 9.9849612816736802e-18, -1.5490290640828759e-14, -1.5187541171768742e-14, -9.0223980872067615e-16, 1.0891402906511616e-15, -2.6085429340408575e-21, 2.1362437811681664e-15, -1.54111530444153e-15, 2.0024763691763364e-29, -7.7937533380274441e-15, 1.0240345062471051e-15, -3.3560523194610572e-16, -3.4063547677789185e-15, 0.55621301775146303, 
0.02, 2.339622912371166, 1.0344344638604698e-213, 299.99999999984516, 0.84946275072914168, 0.29585798815657882, 2.0427162305399058e-19, 6.7973770211934603e-15, 0.14792899408482996, 9.3707165793766335e-18, -1.462939716340297e-14, -1.2715221032892836e-14, -1.0823850854613986e-15, 6.8199004335600348e-16, -5.5391163516850562e-22, 1.7376633999617498e-15, -1.1424990195069419e-15, 1.8255192323112386e-29, -7.3867150365138773e-15, 1.0240362398126393e-15, -3.3560523189006494e-16, -3.4061758531787166e-15, 0.55621301775862164, 
0.020961165881241427, 2.3396229119350767, 1.0344343809910897e-213, 300.00000000106633, 0.84946275088896239, 0.29585798800692759, 2.0050767439262372e-19, 6.7131085030032576e-15, 0.14792899411717278, 9.2551213351917625e-18, -1.4250099426629616e-14, -1.2211718644618185e-14, -1.1165525727351937e-15, 6.0855557293771109e-16, -5.2569696090796475e-22, 1.6606269426164395e-15, -1.0654417823946933e-15, 1.7918818402591545e-29, -7.3132810060518239e-15, 1.024036570625984e-15, -3.3560523195085116e-16, -3.4061396625542936e-15, 0.55621301787592925, 
0.021922331762482854, 2.3396228997109145, 1.0344339685749088e-213, 300.00000006130074, 0.84946275529760107, 0.29585798380992429, 2.1519105927725307e-19, 7.3817315290091527e-15, 0.14792899502432239, 1.017909692442287e-17, 2.2500297614362077e-15, -1.0645886086899608e-14, -1.0150240022393074e-15, 5.4299844862929534e-16, -5.2382746915247608e-22, 1.5869875124292465e-15, -9.9178852123073992e-16, 1.9231033229720147e-29, -7.2477356467178429e-15, 1.0240369824663877e-15, -3.3560523362978235e-16, -3.4061035010728789e-15, 0.5562130211657641, 
0.022402914703103568, 2.3396227726649941, 1.0344337497556147e-213, 300.00000118604976, 0.84946280089465775, 0.29585793909934605, 6.2486915708826104e-19, 2.3986540894747668e-14, 0.14792900468755002, 3.3636148315544939e-17, 4.8427119254211022e-13, 2.335907019595423e-14, 3.4048980965357096e-15, 5.1210649738814336e-16, -5.23598779013755e-22, 1.5510121987473874e-15, -9.5580308508487365e-16, 5.5842816489273614e-29, -7.2168028134838396e-15, 1.0240407246308074e-15, -3.3560524694119673e-16, -3.4060853278219785e-15, 0.55621305621257766, 
0.022883497643724281, 2.3396210213725865, 1.0344335495442068e-213, 300.00002956560894, 0.84946342952461806, 0.29585728927529414, 1.3841476276787742e-17, 5.0316321752027332e-13, 0.14792914511497024, 8.6072883552375315e-16, 1.9621108282570331e-11, 1.4691123677076183e-12, 1.9706716111761811e-13, 4.8308955233745975e-16, -5.0924759419802496e-22, 1.5158507329123946e-15, -9.2062764921249984e-16, 1.2369863604082132e-27, -7.1859370732090545e-15, 1.0242228028571846e-15, -3.356051557301473e-16, -3.4060575494297976e-15, 0.5562135655879531, 
